City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Angoche,MZ,-16.2325,39.9086,78.31,77,0,5.37,clear sky
331,Roma,US,43.2128,-75.4557,39.72,92,100,4.61,light rain
332,Airai,TL,-8.9266,125.4092,56.95,77,20,1.16,few clouds
333,Wanning,CN,18.8003,110.3967,66.58,77,100,11.74,overcast clouds
334,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,75,13,14.45,few clouds
335,Ilhabela,BR,-23.7781,-45.3581,77.23,83,25,8.12,scattered clouds
336,Soderhamn,SE,61.3037,17.0592,30.88,95,100,2.51,overcast clouds
337,La Ciotat,FR,43.1748,5.6045,48.81,68,76,10.87,broken clouds
338,Methala,IN,10.2166,76.2166,78.8,92,82,2.19,broken clouds
339,Saint-Denis,FR,48.9167,2.3333,44.15,47,0,4.61,clear sky
340,Oktyabrskiy,RU,54.4815,53.471,39.16,98,100,8.61,overcast clouds
341,Nizhniy Tsasuchey,RU,50.5167,115.1333,29.28,49,100,8.39,overcast clouds
342,College,US,64.8569,-147.8028,21.58,63,75,4.61,broken clouds
343,Galesburg,US,40.9478,-90.3712,56.01,52,40,6.91,scattered clouds
